Filename,Title,Usecase,Status
air_properties__temperature__pressure___density_da.md,"Air Properties: Temperature, Pressure & Density Data",calculator,done
air_supply_to_boiler_house.md,Air Supply to Boiler House,calculator-table,done
air_temperature__pressure_and_density_vs__altitude.md,"Air Temperature, Pressure and Density vs. Altitude",calculator-table,done
air_tools___air_consumption.md,Air Tools - Air Consumption,datatable,done
air_viscosity__dynamic_and_kinematic_viscosity_at_.md,Air Viscosity: Dynamic and Kinematic Viscosity at Various Temperatures and Pressures,calculator-chart,done
aisi_310_stainless_steel___properties.md,AISI 310 Stainless Steel - Properties,datatable,done
aisi_sae_steel_and_alloys___designation_system.md,AISI/SAE Steel and Alloys - Designation System,none,pending
alcohols_and_carboxylic_acids___physical_data.md,Alcohols and Carboxylic Acids - Physical Data,none,pending
algebraic_expressions.md,Algebraic Expressions,datatable,done
alloy_steels.md,Alloy Steels,datatable,done
alternating_pumps.md,Alternating Pumps,datatable,done
alternative_fuels___properties.md,Alternative Fuels - Properties,none,pending
aluminum___melting_points_of_binary_eutectic_alloy.md,Aluminum - Melting Points of Binary Eutectic Alloys,datatable,done
aluminum___radiation_heat_emissivity.md,Aluminum - Radiation Heat Emissivity,none,pending
aluminum___thermophysical_properties.md,Aluminum - Thermophysical Properties,calculator-table,done
aluminum_alloys___mechanical_properties.md,Aluminum Alloys - Mechanical Properties,calculator-table,done
aluminum_and_copper_wires___electrical_resistance_.md,Aluminum and Copper Wires - Electrical Resistance vs. Cross-Sectional Area,datatable,done
aluminum_conductor_characteristics.md,Aluminum Conductor Characteristics,calculator,done
american_standard_beams___s_beam.md,American Standard Beams - S Beam,calculator,done
american_vs__british_piping_standards.md,American vs. British Piping Standards,calculator,done
american_wide_flange_steel_beams__dimensions_and_p.md,American Wide Flange Steel Beams: Dimensions and Properties (ASTM A6 in Metric),calculator,done
american_wide_flange_steel_beams__w_beams____dimen.md,American Wide Flange Steel Beams (W-Beams) - Dimensions and Properties in Imperial Units,calculator,done
amines__diamines_and_cyclic_organic_nitrogen_compo.md,"Amines, Diamines and Cyclic Organic Nitrogen Compounds - pKa Values",calculator,done
ammonia___dynamic_and_kinematic_viscosity_vs__temp.md,Ammonia - Dynamic and Kinematic Viscosity vs. Temperature and Pressure,calculator,done
ammonia___nh3___concentration_in_air_and_health_ef.md,Ammonia - NH3 - Concentration in Air and Health Effects,calculator,done
ammonia___prandtl_number_vs__temperature_and_press.md,Ammonia - Prandtl Number vs. Temperature and Pressure,datatable,done
ammonia___properties_at_gas_liquid_equilibrium_con.md,Ammonia - Properties at Gas-Liquid Equilibrium Conditions,calculator,done
ammonia___specific_heat_vs__temperature_and_pressu.md,Ammonia - Specific Heat vs. Temperature and Pressure,datatable,done
ammonia___thermal_conductivity_vs__temperature_and.md,Ammonia - Thermal Conductivity vs. Temperature and Pressure,datatable,done
ammonia___thermophysical_properties.md,Ammonia - Thermophysical Properties,none,pending
ammonia___vapour_pressure_at_gas_liquid_equilibriu.md,Ammonia - Vapour Pressure at Gas-Liquid Equilibrium,none,pending
ammonia_gas___density_vs__temperature_and_pressure.md,Ammonia Gas - Density vs. Temperature and Pressure,none,pending
angle_calculator___carpenter_s_square.md,Angle Calculator - Carpenter's Square,datatable,done
angle_converter.md,Angle Converter,none,pending
angles_of_repose.md,Angles of Repose,datatable,done
angular_motion___power_and_torque.md,Angular Motion - Power and Torque,chart-table,done
animals___laboratory_environments.md,Animals - Laboratory Environments,datatable,done
ansi___american_national_standards_institute.md,ANSI - American National Standards Institute,datatable,done
ansi_asme_y14_1___u_s__standard_engineering_drawin.md,ANSI/ASME Y14.1 - U.S. Standard Engineering Drawing Sizes,datatable,done
ansi_steel_pipe_schedule_40_chart__dimensions__wei.md,"ANSI Steel Pipe Schedule 40 Chart: Dimensions, Weights & Specifications",none,pending
ansi_steel_pipes_schedule_80__dimensions__sizes__a.md,"ANSI Steel Pipes Schedule 80: Dimensions, Sizes, and Specifications",datatable,done
anthracite_coal.md,Anthracite Coal,calculator-chart,done
antifreeze___ethylene_glycol_volume_vs__temperatur.md,Antifreeze - Ethylene Glycol Volume vs. Temperature Rating,calculator,done
antifreeze___ethylene_glycol_vs__propylene_glycol.md,Antifreeze - Ethylene Glycol vs. Propylene Glycol,datatable,done
api___american_petroleum_institute.md,API - American Petroleum Institute,datatable,done
api_gravity__definition__calculation__and_converte.md,"API Gravity: Definition, Calculation, and Converter",datatable,done
apothecaries__weight_system.md,Apothecaries' Weight System,datatable,done
aqueous_salt_solutions___acid_and_base_properties.md,Aqueous Salt Solutions - Acid and Base Properties,datatable,done
archimedes__law.md,Archimedes' Law,calculator,done
area_moment_of_inertia___typical_cross_sections_ii.md,Area Moment of Inertia - Typical Cross Sections II,datatable,done
area_moment_of_inertia_converter.md,Area Moment of Inertia Converter,chart-table,done
area_moment_of_inertia_with_definitions__formulas_.md,"Area Moment of Inertia with Definitions, Formulas & Calculator",datatable,done
area_of_intersecting_circles.md,Area of Intersecting Circles,chart-table,done
area_survey_app.md,Area Survey App,calculator,done
area_units_converter.md,Area Units Converter,calculator,done
argon____density_and_specific_weight.md,Argon -  Density and Specific Weight,calculator,done
argon___thermophysical_properties.md,Argon - Thermophysical Properties,calculator,done
arithmetic_and_logarithmic_mean_temperature_differ.md,Arithmetic and Logarithmic Mean Temperature Difference,calculator,done
arsenic___melting_points_of_binary_eutectic_alloys.md,Arsenic - Melting Points of Binary Eutectic Alloys,datatable,done
ascii_codes.md,ASCII Codes,calculator-table,done
ashrae___american_society_of_heating__refrigeratin.md,"ASHRAE - American Society of Heating, Refrigerating and Air-Conditioning Engineers",calculator,done
asme___american_society_of_mechanical_engineers.md,ASME - American Society of Mechanical Engineers,calculator-table,done
asme___international_boiler_and_pressure_vessel_co.md,ASME - International Boiler and Pressure Vessel Code,calculator,done
asme_ansi_b36_10_19___carbon__alloy_and_stainless_.md,"ASME/ANSI B36.10/19 - Carbon, Alloy and Stainless Steel Pipe - Dimensions",calculator-chart,done
aspe___american_society_of_plumbing_engineers.md,ASPE - American Society of Plumbing Engineers,datatable,done
astm___sections_and_volumes.md,ASTM - Sections and Volumes,chart-table,done
astm_b306_copper_tubes_for_drain__waste_and_vent__.md,"ASTM B306 Copper Tubes for Drain, Waste and Vent - Dimensions and Working Pressures",datatable,done
astm_b819_seamless_copper_tubes_for_medical_gas_sy.md,ASTM B819 Seamless Copper Tubes for Medical Gas Systems - Dimensions,chart,done
astm_cross_reference_material_specifications.md,ASTM Cross Reference Material Specifications,calculator,done
astm_international.md,ASTM International,chart-table,done
astm_standard___volume_05_06_gaseous_fuels__coal_a.md,"ASTM Standard - Volume 05.06 Gaseous Fuels, Coal and Coke",none,pending
asynchronous_induction_motors___electrical_propert.md,Asynchronous Induction Motors - Electrical Properties,none,pending
atmospheric_pressure_vs__elevation_above_sea_level.md,Atmospheric Pressure vs. Elevation above Sea Level,calculator,done
average_velocity.md,Average Velocity,datatable,done
awg___american_wire_gauge_vs__circular_mils.md,AWG - American Wire Gauge vs. Circular Mils,calculator,done
awg___wire_gauge_sizes__current_ratings__charts__m.md,"AWG - Wire Gauge Sizes: Current Ratings, Charts, Measurements, and Conversion Guide",calculator,done
awg_wire_gauge_chart___table___american_wire_gauge.md,AWG Wire Gauge Chart & Table – American Wire Gauge (AWG) Standards,calculator,done
ball_valves___flow_coefficients_cv.md,Ball Valves - Flow Coefficients Cv,datatable,done
bands_vs__frequencies_and_wavelengths.md,Bands vs. Frequencies and Wavelengths,datatable,done
banked_turn.md,Banked Turn,datatable,done
barometer___altitude_compensation.md,Barometer - Altitude Compensation,datatable,done
barometric_pressure___pressure_in_psi__psf_and_kpa.md,"Barometric Pressure - Pressure in psi, psf and kPa",datatable,done
bases___ph_values.md,Bases - pH Values,calculator,done
baume_s_hydrometer.md,Baume's Hydrometer,calculator-table,done
beam_loads___support_force_calculator.md,Beam Loads - Support Force Calculator,datatable,done
beams___fixed_at_one_end_and_supported_at_the_othe.md,Beams - Fixed at One End and Supported at the Other - Continuous and Point Loads,calculator,done
beams_and_columns.md,Beams and Columns,datatable,done
beams_fixed_at_both_ends_with_continuous_and_point.md,Beams Fixed at Both Ends with Continuous and Point Loads:  Load & Deflection Formulas,calculator-chart,done
beams_supported_at_both_ends_with_continuous_and_p.md,"Beams Supported at Both Ends with Continuous and Point Loads: Stress, Deflection,  Formulas and Calculators",chart-table,done
beaufort_s_wind_scale.md,Beaufort's Wind Scale,calculator,done
belt_transmissions___speed_and_length_of_belts.md,Belt Transmissions - Speed and Length of Belts,datatable,done
belts___power_transmission_and_efficiency.md,Belts - Power Transmission and Efficiency,datatable,done
belts___pulley_diameters_vs__speed.md,Belts - Pulley Diameters vs. Speed,datatable,done
benzene___density_and_specific_weight_vs__temperat.md,Benzene - Density and Specific Weight vs. Temperature and Pressure,calculator,done
benzene___dynamic_and_kinematic_viscosity_vs__temp.md,Benzene - Dynamic and Kinematic Viscosity vs. Temperature and Pressure,chart-table,done
benzene___thermophysical_properties.md,Benzene - Thermophysical properties,chart,done
benzene_gas___specific_heat_vs__temperature.md,Benzene Gas - Specific Heat vs. Temperature,none,pending
benzene_liquid___thermal_properties.md,Benzene Liquid - Thermal Properties,datatable,done
bep___the_best_efficiency_point_of_a_pump.md,BEP - the Best Efficiency Point of a Pump,datatable,done
bernoulli_equation.md,Bernoulli Equation,datatable,done
beryllium___specific_heat_vs__temperatures.md,Beryllium - Specific Heat vs. Temperatures,calculator,done
bfd___block_flow_diagram.md,BFD - Block Flow Diagram,datatable,done
bid_work_flow_template.md,Bid Work Flow Template,calculator,done
bimetallic_strips.md,Bimetallic Strips,datatable,done
binary__octal_and_hexadecimal_numbers.md,"Binary, Octal and Hexadecimal Numbers",datatable,done
binary_adding__subtraction__multiplicaton_and_divi.md,"Binary Adding, Subtraction, Multiplicaton and Division",datatable,done
binary_to_decimal__hexadecimal_and_ascii_converter.md,"Binary to Decimal, Hexadecimal and ASCII Converter",datatable,done
binomial_theorem.md,Binomial Theorem,datatable,done
bio_ethanol_production___raw_materials.md,Bio Ethanol Production - Raw Materials,chart,done
biogas___carbon_nitrogen_ratios.md,Biogas - Carbon Nitrogen Ratios,datatable,done
biogas___composition.md,Biogas - Composition,datatable,done
biogas___energy_content.md,Biogas - Energy Content,none,pending
biogas___potential_from_animal_manure.md,Biogas - Potential from Animal Manure,calculator,done
biomass_energy_units.md,Biomass Energy Units,calculator,done
biomasses___energy_content_when_used_as_fuel.md,Biomasses - Energy Content when Used as Fuel,datatable,done
biomasses___higher_heating_values.md,Biomasses - Higher Heating Values,datatable,done
blood_sugar_units.md,Blood Sugar Units,datatable,done
blueprint_letters.md,Blueprint Letters,calculator-table,done
board_feet_chart_and_calculator.md,Board Feet Chart and Calculator,datatable,done
bodies___weight_vs__height.md,Bodies - Weight vs. Height,calculator,done
bodies_moving_on_inclined_planes___acting_forces.md,Bodies Moving on Inclined Planes - Acting Forces,calculator,done
boiler___efficiency.md,Boiler - Efficiency,calculator,done
boiler___exhaust_velocity.md,Boiler - Exhaust Velocity,calculator-chart,done
boiler_blowdown.md,Boiler Blowdown,calculator-chart,done
boiler_blowdown_rate.md,Boiler Blowdown Rate,calculator-table,done
boiler_feed_water___chemistry_and_impurity_limits.md,Boiler Feed Water - Chemistry and Impurity Limits,datatable,done
boiler_rooms___sizing.md,Boiler Rooms - Sizing,datatable,done
boilers___classification.md,Boilers - Classification,none,pending
boiling_fluids___max_suction_flow_velocities.md,Boiling Fluids - Max Suction Flow Velocities,datatable,done
boiling_liquids___max_pumping_flow_velocities.md,Boiling Liquids - Max Pumping Flow Velocities,calculator,done
boiling_points_of_fluids.md,Boiling Points of Fluids,datatable,done
bollard_forces.md,Bollard Forces,chart,done
boolean_algebra.md,Boolean Algebra,calculator,done
boyle_s_law__mariotte_s_law_.md,Boyle's Law (Mariotte's Law),calculator,done
brick_densities.md,Brick Densities,calculator,done
bricks___quantity_and_mortar_consumption.md,Bricks - Quantity and Mortar Consumption,calculator-table,done
brinell_hardness_number___bhn.md,Brinell Hardness Number - BHN,calculator,done
british_imperial_system.md,British Imperial System,calculator-chart,done
british_universal_columns_and_beams.md,British Universal Columns and Beams,calculator,done
brix_scale.md,Brix Scale,calculator,done
bronze_flanges___asme_ansi_150_lb.md,Bronze Flanges - ASME/ANSI 150 lb,calculator-chart,done
bronze_flanges___asme_ansi_300_lb.md,Bronze Flanges - ASME/ANSI 300 lb,none,pending
bsi___british_standards_institute.md,BSi - British Standards institute,datatable,done
buffer_solutions.md,Buffer Solutions,chart-table,done
builder_s_to_surveyor_s_measurements.md,Builder's to Surveyor's Measurements,calculator,done
building_elements___heat_loss_vs__thermal_resistiv.md,Building Elements - Heat Loss vs. Thermal Resistivity,calculator-chart,done
building_foundations___loads.md,Building Foundations - Loads,chart-table,done
building_materials___radiation_constants.md,Building Materials - Radiation Constants,chart-table,done
building_materials___vapour_resistance.md,Building Materials - Vapour Resistance,chart-table,done
building_tolerances.md,Building Tolerances,chart-table,done
bulk_modulus_and_fluid_elasticities.md,Bulk Modulus and Fluid Elasticities,datatable,done
buoyancy.md,Buoyancy,datatable,done
butane___density_and_specific_weight_vs__temperatu.md,Butane - Density and Specific Weight vs. Temperature and Pressure,calculator-chart,done
butane___dynamic_and_kinematic_viscosity_vs__tempe.md,Butane - Dynamic and Kinematic Viscosity vs. Temperature and Pressure,calculator-table,done
butane___specific_heat_vs__temperature_and_pressur.md,Butane - Specific Heat vs. Temperature and Pressure,datatable,done
butane___thermal_conductivity_vs__temperature_and_.md,Butane - Thermal Conductivity vs. Temperature and Pressure,datatable,done
butane___thermophysical_properties.md,Butane - Thermophysical Properties,calculator,done
butterfly_valves___flow_coefficients_cv.md,Butterfly Valves - Flow Coefficients Cv,chart-table,done
butterfly_valves___sizing_and_selection.md,Butterfly Valves - Sizing and Selection,chart-table,done
bytes__kilobytes_and_megabytes.md,"Bytes, Kilobytes and Megabytes",chart-table,done
cable_loads.md,Cable Loads,datatable,done
calcium_chloride_water_solutions.md,Calcium Chloride Water Solutions,calculator,done
calcium_silicate_insulation.md,Calcium Silicate Insulation,calculator-chart,done
california_pipe_flow_metering_method.md,California Pipe Flow Metering Method,calculator,done
capacitors.md,Capacitors,none,pending
capacitors___parallel_and_serial_circuits.md,Capacitors - Parallel and Serial Circuits,none,pending
capacitors___stored_energy.md,Capacitors - Stored Energy,datatable,done
capillarity.md,Capillarity,datatable,done
car___required_power_and_torque.md,Car - Required Power and Torque,datatable,done
car___traction_force.md,Car - Traction Force,datatable,done
car_acceleration.md,Car Acceleration,calculator,done
car_fuel_consumption___liter_100_km.md,Car Fuel Consumption - liter/100 km,chart-table,done
carbon_and_low_alloy_steel_classifications.md,Carbon and Low-Alloy Steel Classifications,calculator,done
carbon_and_stainless_steel_flanges___asme_ansi_cla.md,Carbon and Stainless Steel Flanges - ASME/ANSI Class 150,none,pending
carbon_dioxide___co2___liquid___properties__imperi.md,"Carbon Dioxide - CO2 - Liquid - Properties, Imperial Units",none,pending
carbon_dioxide___density_and_specific_weight_vs__t.md,Carbon dioxide - Density and Specific Weight vs. Temperature and Pressure,calculator,done
carbon_dioxide___dynamic_and_kinematic_viscosity_v.md,Carbon Dioxide - Dynamic and Kinematic Viscosity vs. Temperature and Pressure,calculator,done
carbon_dioxide___liquid_properties.md,Carbon Dioxide - Liquid Properties,none,pending
carbon_dioxide___prandtl_number_vs__temperature_an.md,Carbon dioxide - Prandtl Number vs. Temperature and Pressure,datatable,done
carbon_dioxide___specific_heat_of_gas_vs__temperat.md,Carbon Dioxide - Specific Heat of Gas vs. Temperature,none,pending
carbon_dioxide___thermal_conductivity_vs__temperat.md,Carbon dioxide - Thermal Conductivity vs. Temperature and Pressure,chart,done
carbon_dioxide__co___properties___characteristics_.md,"Carbon Dioxide (CO₂) Properties & Characteristics: Density, Thermal Data & More",calculator,done
carbon_dioxide_concentration___comfort_levels.md,Carbon Dioxide Concentration - Comfort Levels,calculator,done
carbon_dioxide_concentration_in_rooms_occupied_wit.md,Carbon Dioxide Concentration in Rooms Occupied with People,calculator,done
carbon_dioxide_emission_from_the_human_body_vs__ac.md,Carbon Dioxide Emission from the Human Body vs. Activity,calculator,done
carbon_dioxide_gas___ideal_properties.md,Carbon Dioxide Gas - Ideal Properties,chart,done
carbon_monoxide___co___thermophysical_properties.md,Carbon Monoxide - CO - Thermophysical Properties,calculator,done
carbon_monoxide___density_and_specific_weight_vs__.md,Carbon Monoxide - Density and Specific Weight vs. Temperature and Pressure,calculator-table,done
carbon_monoxide_and_health_effects.md,Carbon Monoxide and Health Effects,datatable,done
carbon_monoxide_gas___co___specific_heat_vs__tempe.md,Carbon Monoxide Gas - CO - Specific Heat vs. Temperature,calculator,done
carbon_steel_flanges___pressure_and_temperature_ra.md,Carbon Steel Flanges - Pressure and Temperature Ratings,datatable,done
carbon_steel_pipes___comparing_american___european.md,Carbon Steel Pipes - Comparing American & European Standards,datatable,done
carnot__otto__diesel_and_joule_cycles.md,"Carnot, Otto, Diesel and Joule Cycles",calculator,done
carnot_cycle_efficiency.md,Carnot Cycle Efficiency,datatable,done
cartesian_coordinate_system___distance_and_interme.md,Cartesian Coordinate System - Distance and Intermediate Position Between Two Points,datatable,done
cash_flow_diagrams.md,Cash Flow Diagrams,calculator-chart,done
cast_iron.md,Cast Iron,none,pending
cast_iron_flanges___asme_ansi_class_125.md,Cast Iron Flanges - ASME/ANSI Class 125,datatable,done
cast_iron_flanges___asme_ansi_class_25.md,Cast Iron Flanges - ASME/ANSI Class 25,chart-table,done
cast_iron_flanges___asme_ansi_class_250.md,Cast Iron Flanges - ASME/ANSI Class 250,calculator-table,done
cast_iron_soil_pipes___dimensions.md,Cast Iron Soil Pipes - Dimensions,calculator,done
cauchy_number.md,Cauchy Number,chart-table,done
cavitation.md,Cavitation,none,pending
cavitation_number.md,Cavitation Number,calculator,done
ce_marking.md,CE Marking,datatable,done
cen___the_european_committee_for_standardization.md,CEN - The European Committee for Standardization,datatable,done
center_mass.md,Center Mass,datatable,done
center_of_gravity.md,Center of Gravity,datatable,done
center_of_gravity_and_buoyancy.md,Center of Gravity and Buoyancy,calculator,done
centrifugal_pump_standards.md,Centrifugal Pump Standards,calculator-chart,done
centrifugal_pumps.md,Centrifugal Pumps,calculator,done
centrifugal_pumps___capacity_modulation.md,Centrifugal Pumps - Capacity Modulation,calculator,done
centrifugal_pumps___influence_of_viscosity.md,Centrifugal Pumps - Influence of Viscosity,datatable,done
centrifugal_pumps___minimum_flow.md,Centrifugal Pumps - Minimum Flow,datatable,done
centrifugal_pumps___shut_off_head.md,Centrifugal Pumps - Shut-Off Head,datatable,done
centrifugal_pumps___speed_torque_curve.md,Centrifugal Pumps - Speed Torque Curve,calculator,done
centrifugal_pumps___stable_and_unstable_flow.md,Centrifugal Pumps - Stable and Unstable Flow,datatable,done
centripetal_and_centrifugal_acceleration_force.md,Centripetal and Centrifugal Acceleration Force,datatable,done
centroids_of_plane_areas.md,Centroids of Plane Areas,datatable,done
ceramic_materials___properties.md,Ceramic Materials - Properties,calculator,done
charles__law.md,Charles' Law,datatable,done
chemicals___formulas_and_trading_names.md,Chemicals - Formulas and Trading Names,calculator,done
chemicals_hazard_rating_system.md,Chemicals Hazard Rating System,datatable,done
chezys_conduit_flow_equation.md,Chezys Conduit Flow Equation,datatable,done
chimney_s_explosion_doors.md,Chimney's Explosion Doors,calculator,done
chimney_s_size_vs__boiler_power.md,Chimney's Size vs. Boiler Power,datatable,done
chimney_sizing.md,Chimney Sizing,datatable,done
chimneys___roof_termination.md,Chimneys - Roof Termination,calculator-chart,done
chimneys_and_fireplace_sizing.md,Chimneys and Fireplace Sizing,datatable,done
chromium___specific_heat_and_thermal_conductivitie.md,Chromium - Specific Heat and Thermal Conductivities vs. Temperatures,chart-table,done
circle___the_chord_lengths_when_divided_in_to_equa.md,Circle - the Chord Lengths when Divided in to Equal Segments,chart,done
circle_equation.md,Circle Equation,none,pending
circles___circumferences_and_areas.md,Circles - Circumferences and Areas,calculator,done
circles_on_the_outside_of_a_circle.md,Circles on the Outside of a Circle,calculator,done
circles_within_a_rectangle___calculator.md,Circles within a Rectangle - Calculator,calculator,done
classification_of_gases.md,Classification of Gases,calculator,done
clo___clothing_and_thermal_insulation.md,Clo - Clothing and Thermal Insulation,datatable,done
clothing__activity_and_human_metabolism.md,"Clothing, Activity and Human Metabolism",calculator,done
clothing_sizes___us_vs__uk_and_europe.md,Clothing Sizes - US vs. UK and Europe,datatable,done
cm___circular_mil_area.md,CM - Circular Mil Area,chart,done
co2_calculator____emissions_from_trains.md,CO2 Calculator  - Emissions from Trains,datatable,done
co2_calculator___emissions_from_airplanes.md,CO2 Calculator - Emissions from Airplanes,datatable,done
co2_calculator___emissions_from_cars.md,CO2 Calculator - Emissions from Cars,chart,done
coal___classification.md,Coal - Classification,datatable,done
cold_water_dwellings___storage_capacities.md,Cold Water Dwellings - Storage Capacities,calculator,done
cold_water_storage_per_occupant.md,Cold Water Storage per Occupant,calculator,done
colebrook_equation.md,Colebrook Equation,datatable,done
color_mixing_theory.md,Color Mixing Theory,calculator,done
combustion_appliances___exhaust_temperatures.md,Combustion Appliances - Exhaust Temperatures,calculator,done
combustion_efficiency_and_excess_air.md,Combustion Efficiency and Excess Air,datatable,done
combustion_heat.md,Combustion Heat,chart,done
combustion_of_fuels___carbon_dioxide_emission.md,Combustion of Fuels - Carbon Dioxide Emission,calculator,done
combustion_processes_and_combustion_efficiency.md,Combustion Processes and Combustion Efficiency,calculator,done
combustion_testing.md,Combustion Testing,calculator,done
comparing_hydraulic_pumps.md,Comparing Hydraulic Pumps,calculator-table,done
complex_numbers.md,Complex Numbers,none,pending
composition_of_steels.md,Composition of Steels,calculator,done
compound_interest_tables.md,Compound Interest Tables,datatable,done
comprehensive_guide_to_temperature_scales_and_conv.md,Comprehensive Guide to Temperature Scales and Conversion,datatable,done
compressed_air___air_flow_and_recommended_pipe_siz.md,Compressed Air - Air Flow and Recommended Pipe Size,datatable,done
compressed_air___air_flow_discharge_through_hoses.md,Compressed Air - Air Flow Discharge through Hoses,none,pending
compressed_air___friction_loss_in_hoses.md,Compressed Air - Friction Loss in Hoses,calculator-chart,done
compressed_air___glossary_of_terms.md,Compressed Air - Glossary of Terms,calculator,done
compressed_air___laboratory_consumption.md,Compressed Air - Laboratory Consumption,datatable,done
